date,description,amount,upi_app,type
2026-01-01,Netflix Autopay,649,Google Pay,debit
2026-02-01,Netflix Autopay,649,Google Pay,debit
2026-03-01,Netflix Autopay,649,Google Pay,debit
2026-01-05,Spotify India,119,PhonePe,debit
2026-02-05,Spotify India,119,PhonePe,debit
2026-03-05,Spotify India,119,PhonePe,debit
2026-01-10,Amazon Prime UPI Mandate,299,Paytm,debit
2026-02-10,Amazon Prime UPI Mandate,299,Paytm,debit
2026-03-10,Amazon Prime UPI Mandate,299,Paytm,debit
2026-03-12,College Canteen,85,Google Pay,debit
2026-03-15,Friend Transfer,500,PhonePe,debit
2026-03-18,Salary Credit,35000,Google Pay,credit

